,ADDRESS,CITY,"ZIP CODE",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
1120,"1200 NE 91st St",Miami,33138,25.859034,-80.172895,1,rooftop,1200,"NE 91st St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1121,"6174 Pine Tree Dr","Miami Beach",33140,25.843386,-80.125739,1,rooftop,6174,"Pine Tree Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
1122,"1210 Biarritz Dr","Miami Beach",33141,25.853386,-80.131617,1,rooftop,1210,"Biarritz Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
1123,"5014 Lakeview Dr","Miami Beach",33140,25.826819,-80.126841,1,rooftop,5014,"Lakeview Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
1124,"485 NE 55 Terr",Miami,33137,25.813153,-80.191714,0.12,place,,,Miami,FL,"Miami-Dade County",33137,US,"TIGER/Line® dataset from the US Census Bureau"
1125,"1111 BELLE MEADE IS. DR.",Miami,33138,25.843984,-80.174402,1,rooftop,1111,"Belle Meade Island Dr","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1126,"1122 NE 91st St",Miami,33138,25.85899,-80.174262,1,rooftop,1122,"NE 91st St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1127,"262 NE 93rd St","Miami Shores",33138,25.860358,-80.192053,1,rooftop,262,"NE 93rd St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1128,"530 NE 51 ST",Miami,33137,25.813153,-80.191714,0.12,place,,,Miami,FL,"Miami-Dade County",33137,US,"TIGER/Line® dataset from the US Census Bureau"
1129,"8651 Arboretum Lane",Miami,33138,25.855197,-80.178574,1,rooftop,8651,"Arboretum Ln","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1130,"91 N SHORE DRIVE","Miami Beach",33141,25.858647,-80.129659,1,rooftop,91,"N Shore Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
1131,"3780 Royal Palm Ave","Miami Beach",33140,25.812645,-80.129775,1,rooftop,3780,"Royal Palm Ave","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
1132,"8650 Arboretum Lane",Miami,33138,25.854854,-80.178705,1,rooftop,8650,"Arboretum Ln","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1133,"4415 Post Ave","Miami Beach",33140,25.817414,-80.128823,1,rooftop,4415,"Post Ave","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
1134,"521 W 46 ST","Miami Beach",33140,25.821106,-80.12798,1,rooftop,521,"W 46th St","Miami Beach",FL,"Miami-Dade County",33140,US,Statewide2
1135,"875 W 47th St","Miami Beach",33140,25.822551,-80.132668,1,rooftop,875,"W 47th St","Miami Beach",FL,"Miami-Dade County",33140,US,Statewide2
1136,"357 W 46th St","Miami Beach",33140,25.821143,-80.127082,1,rooftop,357,"W 46th St","Miami Beach",FL,"Miami-Dade County",33140,US,Statewide2
1137,"515 NE 93rd St","Miami Shores",33138,25.861095,-80.186741,1,rooftop,515,"NE 93rd St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1138,"1060 NE 91 ST",Miami,33138,25.855374,-80.193103,0.11,place,,,Miami,FL,"Miami-Dade County",33138,US,"TIGER/Line® dataset from the US Census Bureau"
1139,"1201 NE 81 TE",Miami,33138,25.855374,-80.193103,0.11,place,,,Miami,FL,"Miami-Dade County",33138,US,"TIGER/Line® dataset from the US Census Bureau"
1140,"4344 ALTON RD","Miami Beach",33140,25.817391,-80.13743,1,rooftop,4344,"Alton Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
1141,"8621 Arboretum Lane",Miami,33138,25.855221,-80.17812,1,rooftop,8621,"Arboretum Ln","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1142,"4334 Alton Rd","Miami Beach",33140,25.817059,-80.137564,1,rooftop,4334,"Alton Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
1143,"5780 Alton Rd","Miami Beach",33140,25.838118,-80.131502,1,rooftop,5780,"Alton Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
1144,"845 W 46th St","Miami Beach",33140,25.821584,-80.132109,1,rooftop,845,"W 46th St","Miami Beach",FL,"Miami-Dade County",33140,US,Statewide2
1145,"535 South Shore Dr.","Miami Beach",33141,25.856279,-80.136358,1,rooftop,535,"S Shore Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
1146,"4700 ALTON RD","Miami Beach",33140,25.82316,-80.135718,1,rooftop,4700,"Alton Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
1147,"980 NE 78 ST",Miami,33138,25.855374,-80.193103,0.11,place,,,Miami,FL,"Miami-Dade County",33138,US,"TIGER/Line® dataset from the US Census Bureau"
1148,"727 Fairway Dr","Miami Beach",33141,25.860137,-80.139806,1,rooftop,727,"Fairway Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
1149,"8601 Arboretum Lane",Miami,33138,25.855172,-80.177798,1,rooftop,8601,"Arboretum Ln","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1150,"545 W 51 ST","Miami Beach",33140,25.827603,-80.127414,1,rooftop,545,"W 51st St","Miami Beach",FL,"Miami-Dade County",33140,US,Statewide2
1151,"560 N SHORE DR","Miami Beach",33141,25.860585,-80.136913,1,rooftop,560,"N Shore Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
1152,"3164 Sheridan Ave","Miami Beach",33140,25.808692,-80.129191,1,rooftop,3164,"Sheridan Ave","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
1153,"85 N SHORE DRIVE","Miami Beach",33141,25.858522,-80.129569,1,rooftop,85,"N Shore Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
1154,"650 NE 68th St",Miami,33138,25.83784,-80.183148,1,rooftop,650,"NE 68th St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1155,"4460 Post Ave","Miami Beach",33140,25.818296,-80.129262,1,rooftop,4460,"Post Ave","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
1156,"4534 Sheridan Ave","Miami Beach",33140,25.819977,-80.126814,1,rooftop,4534,"Sheridan Ave","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
1157,"4235 PRAIRIE AV","Miami Beach",33140,25.815776,-80.130088,1,rooftop,4235,"Prairie Ave","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
1158,"674 NE 70 ST",Miami,33138,25.855374,-80.193103,0.11,place,,,Miami,FL,"Miami-Dade County",33138,US,"TIGER/Line® dataset from the US Census Bureau"
1159,"3471 SHERIDAN AV","Miami Beach",33140,25.81051,-80.12826,1,rooftop,3471,"Sheridan Ave","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
1160,"9250 NE 10 CT","Miami Shores",33138,25.863152,-80.192825,0.12,place,,,"Miami Shores",FL,"Miami-Dade County",33138,US,"TIGER/Line® dataset from the US Census Bureau"
1161,"4465 Adams Avenue","Miami Beach",33140,25.818079,-80.132581,0.9,rooftop,4465,"N Adams Ave","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
1162,"1122 NE 91 ST",Miami,33138,25.855374,-80.193103,0.11,place,,,Miami,FL,"Miami-Dade County",33138,US,"TIGER/Line® dataset from the US Census Bureau"
1163,"920 NE 72nd St",Miami,33138,25.841014,-80.17754,1,rooftop,920,"NE 72nd St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1164,"871 NE 71st St",Miami,33138,25.840708,-80.178659,1,rooftop,871,"NE 71st St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1165,"5173 Alton Rd","Miami Beach",33140,25.828559,-80.129815,1,rooftop,5173,"Alton Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
1166,"431 NE 52nd Terrace",Miami,33137,25.824697,-80.185788,1,rooftop,431,"NE 52nd Ter",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
1167,"428 NE 91st","Miami Shores",33138,25.858567,-80.188467,0.6,rooftop,428,"NE 91st St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1168,"470 NE 52nd Ter",Miami,33137,25.824275,-80.18486,1,rooftop,470,"NE 52nd Ter",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
1169,"7811 Miami View Dr","North Bay Village",33141,25.847917,-80.159524,1,rooftop,7811,"Miami View Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
1170,"736 NE 72nd St",Miami,33138,25.84091,-80.181189,1,rooftop,736,"NE 72nd St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1171,"544 W 49th St","Miami Beach",33140,25.825284,-80.127801,1,rooftop,544,"W 49th St","Miami Beach",FL,"Miami-Dade County",33140,US,Statewide2
1172,"659 NE 71st St",Miami,33138,25.840588,-80.183032,1,rooftop,659,"NE 71st St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1173,"1025 NE 91 TE","Miami Shores",33138,25.863152,-80.192825,0.12,place,,,"Miami Shores",FL,"Miami-Dade County",33138,US,"TIGER/Line® dataset from the US Census Bureau"
1174,"650 NE 76 ST",Miami,33138,25.855374,-80.193103,0.11,place,,,Miami,FL,"Miami-Dade County",33138,US,"TIGER/Line® dataset from the US Census Bureau"
1175,"1151 NE 86th St",Miami,33138,25.854852,-80.173464,1,rooftop,1151,"NE 86th St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1176,"440 NE 52 TE",Miami,33137,25.813153,-80.191714,0.12,place,,,Miami,FL,"Miami-Dade County",33137,US,"TIGER/Line® dataset from the US Census Bureau"
1177,"685 S SHORE DR","Miami Beach",33141,25.855579,-80.13866,1,rooftop,685,"S Shore Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
1178,"83 N SHORE","Miami Beach",33141,25.858481,-80.129539,1,rooftop,83,"N Shore Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
1179,"646 NE 81 St",Miami,33138,25.855374,-80.193103,0.11,place,,,Miami,FL,"Miami-Dade County",33138,US,"TIGER/Line® dataset from the US Census Bureau"
1180,"8620 Arboretum Lane",Miami,33138,25.85485,-80.17825,1,rooftop,8620,"Arboretum Ln","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1181,"4485 POST AV","Miami Beach",33140,25.818636,-80.128611,1,rooftop,4485,"Post Ave","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
1182,"358 NE 85th St","El Portal",33138,25.853425,-80.190173,1,rooftop,358,"NE 85th St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1183,"7720 HAWTHORNE","Miami Beach",33141,25.862257,-80.128746,1,rooftop,7720,"Hawthorne Ave","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
1184,"4220 ROYAL PALM AV","Miami Beach",33140,25.815436,-80.129229,1,rooftop,4220,"Royal Palm Ave","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
1185,"265 NE 92nd St","Miami Shores",33138,25.859967,-80.191885,1,rooftop,265,"NE 92nd St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1186,"8681 Arboretum Lane",Miami,33138,25.855182,-80.179035,1,rooftop,8681,"Arboretum Ln","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1187,"8671 Arboretum Lane",Miami,33138,25.855205,-80.178877,1,rooftop,8671,"Arboretum Ln","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1188,"620 N SHORE DR","Miami Beach",33141,25.86055,-80.13804,1,rooftop,620,"N Shore Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
1189,"137 NE 47th St",Miami,33137,25.818811,-80.192303,1,rooftop,137,"NE 47th St",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
1190,"715 NE 76th St",Miami,33138,25.84527,-80.181902,1,rooftop,715,"NE 76th St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1191,"8660 Arboretum Lane",Miami,33138,25.854857,-80.178866,1,rooftop,8660,"Arboretum Ln","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1192,"1276 NE 94th St","Miami Shores",33138,25.862167,-80.172116,1,rooftop,1276,"NE 94th St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1193,"674 NE 70th St",Miami,33138,25.839475,-80.18275,1,rooftop,674,"NE 70th St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1194,"541 NE 55 ST",Miami,33137,25.813153,-80.191714,0.12,place,,,Miami,FL,"Miami-Dade County",33137,US,"TIGER/Line® dataset from the US Census Bureau"
1195,"8640 Arboretum Lane",Miami,33138,25.854829,-80.178544,1,rooftop,8640,"Arboretum Ln","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1196,"8641 Arboretum Lane",Miami,33138,25.855204,-80.178423,1,rooftop,8641,"Arboretum Ln","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1197,"8661 Arboretum Lane",Miami,33138,25.855208,-80.178725,1,rooftop,8661,"Arboretum Ln","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1198,"178 NE 45 ST",Miami,33137,25.813153,-80.191714,0.12,place,,,Miami,FL,"Miami-Dade County",33137,US,"TIGER/Line® dataset from the US Census Bureau"
1199,"321 W 63 ST","Miami Beach",33141,25.844116,-80.126161,1,rooftop,321,"W 63rd St","North Bay Village",FL,"Miami-Dade County",33141,US,Statewide2
1200,"642 NE 69th St",Miami,33138,25.838527,-80.183091,1,rooftop,642,"NE 69th St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1201,"8611 Arboretum Lane",Miami,33138,25.855228,-80.177958,1,rooftop,8611,"Arboretum Ln","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1202,"374 NE 95th St","Miami Shores",33138,25.862322,-80.189737,1,rooftop,374,"NE 95th St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1203,"4724 NE 1st Ave",Miami,33137,25.819261,-80.193478,1,rooftop,4724,"NE 1st Ave",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
1204,"686 NE 56th St",Miami,33137,25.827615,-80.181291,1,rooftop,686,"NE 56th St",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
1205,"640 NE 67th St",Miami,33138,25.837129,-80.183346,1,rooftop,640,"NE 67th St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1206,"7630 NE 8 AVE",Miami,33138,25.855374,-80.193103,0.11,place,,,Miami,FL,"Miami-Dade County",33138,US,"TIGER/Line® dataset from the US Census Bureau"
1207,"965 NE 72nd St",Miami,33138,25.841405,-80.176807,1,rooftop,965,"NE 72nd St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1208,"83 N Shore Dr",Miami,33141,25.858481,-80.129539,1,rooftop,83,"N Shore Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
1209,"8925 NE 9th Ct",Miami,33138,25.857677,-80.177799,1,rooftop,8925,"NE 9th Ct","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1210,"884 NE 88th St",Miami,33138,25.855975,-80.179279,1,rooftop,884,"NE 88th St","Miami Shores",FL,"Miami-Dade County",33138,US,Statewide2
1211,"869 NE 71st St",Miami,33138,25.840702,-80.178879,1,rooftop,869,"NE 71st St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1212,"8630 Arboretum Lane",Miami,33138,25.854824,-80.178395,1,rooftop,8630,"Arboretum Ln","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1213,"411 NE 52nd St",Miami,33137,25.823937,-80.18623,1,rooftop,411,"NE 52nd St",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
1214,"1031 NE 72nd St",Miami,33138,25.841435,-80.175403,1,rooftop,1031,"NE 72nd St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1215,"383 NE 85th St","El Portal",33138,25.8538,-80.189264,1,rooftop,383,"NE 85th St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1216,"3450 N Meridian Ave","Miami Beach",33140,25.810176,-80.134924,1,rooftop,3450,"N Meridian Ave","Miami Beach",FL,"Miami-Dade County",33140,US,Statewide2
1217,"353 NE 94th St","Miami Shores",33138,25.861815,-80.190252,1,rooftop,353,"NE 94th St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1218,"661 NE 55th Ter",Miami,33137,25.827215,-80.181656,1,rooftop,661,"NE 55th Ter",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
1219,"600 NE 53rd St",Miami,33137,25.825069,-80.182975,1,rooftop,600,"NE 53rd St",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
1220,"735 NE 76 ST",Miami,33138,25.855374,-80.193103,0.11,place,,,Miami,FL,"Miami-Dade County",33138,US,"TIGER/Line® dataset from the US Census Bureau"
1221,"500 NE 51 ST",Miami,33137,25.813153,-80.191714,0.12,place,,,Miami,FL,"Miami-Dade County",33137,US,"TIGER/Line® dataset from the US Census Bureau"
1222,"630 NE 52 ST",Miami,33137,25.813153,-80.191714,0.12,place,,,Miami,FL,"Miami-Dade County",33137,US,"TIGER/Line® dataset from the US Census Bureau"
1223,"600 N SHORE DR","Miami Beach",33141,25.860563,-80.137632,1,rooftop,600,"N Shore Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
1224,"4190 ALTON RD","Miami Beach",33140,25.813983,-80.136985,1,rooftop,4190,"Alton Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
1225,"611 NE 53 ST",Miami,33137,25.813153,-80.191714,0.12,place,,,Miami,FL,"Miami-Dade County",33137,US,"TIGER/Line® dataset from the US Census Bureau"
1226,"1050 NE 91 TE","Miami Shores",33138,25.863152,-80.192825,0.12,place,,,"Miami Shores",FL,"Miami-Dade County",33138,US,"TIGER/Line® dataset from the US Census Bureau"
1227,"1200 NE 91 ST",Miami,33138,25.855374,-80.193103,0.11,place,,,Miami,FL,"Miami-Dade County",33138,US,"TIGER/Line® dataset from the US Census Bureau"
1228,"8040 NE 8th Ct",Miami,33138,25.849326,-80.179778,1,rooftop,8040,"NE 8th Ct","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1229,"1240 NE 93rd St","Miami Shores",33138,25.861127,-80.173324,1,rooftop,1240,"NE 93rd St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1230,"7505 W TREASURE DR","North Bay Village",33141,25.84489,-80.154816,1,rooftop,7505,"W Treasure Dr","North Bay Village",FL,"Miami-Dade County",33141,US,Statewide2
1231,"824 NE 75th St",Miami,33138,25.844004,-80.179048,1,rooftop,824,"NE 75th St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1232,"474 NE 50th Ter",Miami,33137,25.822022,-80.185237,1,rooftop,474,"NE 50th Ter",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
1233,"578 NE 93rd St","Miami Shores",33138,25.86057,-80.185653,1,rooftop,578,"NE 93rd St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1234,"304 NE 93rd St","Miami Shores",33138,25.860398,-80.190958,1,rooftop,304,"NE 93rd St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1235,"521 NE 50th Ter.",Miami,33137,25.822521,-80.184103,1,rooftop,521,"NE 50th Ter",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
1236,"471 NE 53rd St",Miami,33137,25.825424,-80.18492,1,rooftop,471,"NE 53rd St",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
1237,"611 NE 71st St",Miami,33138,25.840508,-80.183755,1,rooftop,611,"NE 71st St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1238,"611 NE 58th St",Miami,33137,25.829573,-80.182699,1,rooftop,611,"NE 58th St",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
1239,"455 NE 55th St",Miami,33137,25.826232,-80.18568,1,rooftop,455,"NE 55th St",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
1240,"1111 NE 91 Terrace","Miami Shores",33138,25.863152,-80.192825,0.12,place,,,"Miami Shores",FL,"Miami-Dade County",33138,US,"TIGER/Line® dataset from the US Census Bureau"
1241,"640 NE 67 ST",Miami,33138,25.855374,-80.193103,0.11,place,,,Miami,FL,"Miami-Dade County",33138,US,"TIGER/Line® dataset from the US Census Bureau"
1242,"5800 NE 6 CT","Miami Beach",33137,25.829582,-80.182466,0.5,rooftop,5800,"NE 6th Ct",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
1243,"1111 NE 91st Ter","Miami Shores",33138,25.85991,-80.174759,1,rooftop,1111,"NE 91st Ter","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1244,"105 N SHORE DRIVE","Miami Beach",33141,25.858776,-80.129755,1,rooftop,105,"N Shore Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
1245,"7610 Center Bay Dr","North Bay Village",33141,25.846395,-80.159148,1,rooftop,7610,"Center Bay Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
1246,"1204 NE 91 ST",Miami,33138,25.855374,-80.193103,0.11,place,,,Miami,FL,"Miami-Dade County",33138,US,"TIGER/Line® dataset from the US Census Bureau"
1247,"7202 SW 123rd Pl",Miami,33183,25.700335,-80.394185,1,rooftop,7202,"SW 123rd Pl",Miami,FL,"Miami-Dade County",33183,US,"Miami-Dade County"
1248,"431 NE 53 ST",Miami,33137,25.813153,-80.191714,0.12,place,,,Miami,FL,"Miami-Dade County",33137,US,"TIGER/Line® dataset from the US Census Bureau"
1249,"90 NE 46 ST",Miami,33137,25.813153,-80.191714,0.12,place,,,Miami,FL,"Miami-Dade County",33137,US,"TIGER/Line® dataset from the US Census Bureau"
1250,"696 NE 68th St",Miami,33138,25.837853,-80.182265,1,rooftop,696,"NE 68th St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1251,"8540 Arboretum Lane",Miami,33138,25.854538,-80.178722,1,rooftop,8540,"Arboretum Ln","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1252,"480 NE 56th St",Miami,33137,25.827459,-80.185342,1,rooftop,480,"NE 56th St",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
1253,"8610 Arboretum Lane",Miami,33138,25.85491,-80.178055,1,rooftop,8610,"Arboretum Ln","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1254,"915 Fairway Dr","Miami Beach",33141,25.859167,-80.142423,1,rooftop,915,"Fairway Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
1255,"1220 NE 81st Ter",Miami,33138,25.849888,-80.173247,1,rooftop,1220,"NE 81st Ter","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1256,"520 NE 58 ST",Miami,33137,25.813153,-80.191714,0.12,place,,,Miami,FL,"Miami-Dade County",33137,US,"TIGER/Line® dataset from the US Census Bureau"
1257,"701 NE 67 ST",Miami,33138,25.855374,-80.193103,0.11,place,,,Miami,FL,"Miami-Dade County",33138,US,"TIGER/Line® dataset from the US Census Bureau"
1258,"3166 Royal Palm Ave","Miami Beach",33140,25.808823,-80.130315,1,rooftop,3166,"Royal Palm Ave","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
1259,"877 NE 73rd St",Miami,33138,25.842926,-80.178259,1,rooftop,877,"NE 73rd St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1260,"280 NE 95 ST","Miami Shores",33138,25.863152,-80.192825,0.12,place,,,"Miami Shores",FL,"Miami-Dade County",33138,US,"TIGER/Line® dataset from the US Census Bureau"
1261,"1260 NE 85th St",Miami,33138,25.853776,-80.173102,1,rooftop,1260,"NE 85th St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1262,"989 NE 90th St",Miami,33138,25.858925,-80.177139,1,rooftop,989,"NE 90th St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1263,"1094 NE 91st Ter","Miami Shores",33138,25.859613,-80.175149,1,rooftop,1094,"NE 91st Ter","Miami Shores",FL,"Miami-Dade County",33138,US,Statewide2
1264,"1030 N Shore Dr","Miami Beach",33141,25.858701,-80.143539,1,rooftop,1030,"N Shore Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
1265,"179 N SHORE DR","Miami Beach",33141,25.859643,-80.130424,1,rooftop,179,"N Shore Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
1266,"374 N SHORE DR","Miami Beach",33141,25.860679,-80.134113,1,rooftop,374,"N Shore Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
1267,"9230 NE 2nd Ave","Miami Shores",33138,25.860314,-80.193593,1,rooftop,9230,"NE 2nd Ave","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1268,"1020 Shore Ln","Miami Beach",33141,25.854895,-80.144907,1,rooftop,1020,"Shore Ln","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
1269,"515 Fairway Dr","Miami Beach",33141,25.860285,-80.136007,1,rooftop,515,"Fairway Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
1270,"152 NE 44 ST",Miami,33137-341,25.813153,-80.191714,0.12,place,,,Miami,FL,"Miami-Dade County",33137,US,"TIGER/Line® dataset from the US Census Bureau"
1271,"1200 NE 94th St","Miami Shores",33138,25.862066,-80.174259,1,rooftop,1200,"NE 94th St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1272,"7611 Abbott Ave","Miami Beach",33141,25.861497,-80.122806,1,rooftop,7611,"Abbott Ave","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
1273,"5901 NE 6th Ct",Miami,33137,25.830472,-80.181893,1,rooftop,5901,"NE 6th Ct",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
1274,"756 NE 75th St",Miami,33138,25.843964,-80.180768,1,rooftop,756,"NE 75th St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1275,"8865 NE 9 CT",Miami,33138,25.857075,-80.177653,0.9,rooftop,8865,"NE 9th Ct","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
1276,"355 Fairway Dr","Miami Beach",33141,25.860357,-80.133915,1,rooftop,355,"Fairway Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
1277,"129 NE 44 ST",Miami,33137,25.813153,-80.191714,0.12,place,,,Miami,FL,"Miami-Dade County",33137,US,"TIGER/Line® dataset from the US Census Bureau"
