MLS NUMBER,STATUS,ADDRESS,BEDS,FBATHS,HBATHS,LIST PRICE,SOLD PRICE,CONTRACT,SETTLED,CITY,SUBDIV,LOT SIZE,TOT SQFT,LIV SQFT,YEAR BUILT,CONST,DESIGN1,DESIGN2,HEAT,COOLING,GAR SPACES,PARKING,GAR DESC,DINING,EXT FEAT,FLOORS,INT FEAT,LOT DESC,POOL2,POOL DIM,ROOF,OTHER ROOM,SEWER,VIEW,WATER,WINDOWS,SUBD INFO,EST TAXES,SPA,POOL1,MSTR BATH,STYLE,SHORT SALE,REO,BLDG UNITS,COMPLEX UNITS,UNIT FLOOR LOC,TOTAL FLOORS,SUBDIVISION INFO,SECURITY INFO,RESTRICTIONS,FEE DESCRIPTION,ASSOC FEE PAID PER,MAINT CHARGE,LAND LEASE,REC LEASE,ASSOCIATION FEE,MIN LEASE,MAINT INCL,DEVELOPMENT NAME,COMPLEX,UNIT #,ROOF,PUBLIC REMARKS,EXPECTED CLOSING DATE,APPROX LOT SIZE,ZIP CODE,PHOTO COUNT,WITHDRAWN DATE,EXPIRATION DATE,PENDING DATE,OFF MARKET DATE,SALE TERMS,DAYS ON MARKET,COUNTY,APN,ENTRY DATE,SELLER CONTRIBUTIONS (Y/N),SELLER CONTRIBUTIONS ($) 
A10747829,Active,341 SW 19th Rd,3,2,0,539000,,09/28/2019 12:00:00 AM,,Miami,HOLLEMAN PARK,6750,1637,1253,1941,Cbs Construction,Attached,Old Spanish,Central Heat,"Ceiling Fans, Central Cooling",0,Driveway,,,"Barbeque, Fence, Fruit Trees","Other Floors, Parquet Floors",First Floor Entry,Less Than 1/4 Acre Lot,,,,"Den/Library/Office, Family Room, Florida Room",Municipal Sewer,Garden View,Municipal Water,,HOLLEMAN PARK,4676,,False,,R30-No Pool/No Water,False,False,,,,,Additional Amenities,,Ok To Lease,,,,,,,,,,,,,"Property is rented ($2750 per month) Lease ends July 2020- PLEASE DO NOT DISTURB TENANTS- Showing by appointment only -please contact agent -",,,33129,24,,,,,,16,Miami-Dade County,01-41-38-001-1800,09/28/2019 8:18:20 PM,,
A10626173,Active,999 SW 1st Ave,2,2,0,539000,,02/24/2019 12:00:00 AM,,Miami,NINE AT MARY BRICKELL VIL,,1369,1369,2015,Cbs Construction,,,Central Heat,Central Cooling,2,2 Or More Spaces,,"Eat-In Kitchen, Formal Dining",Open Balcony,"Ceramic Floor, Wood Floors",Split Bedroom,,,,,Family Room,,,,,NINE AT MARY BRICKELL VIL,9176,,,,C42-Condo 5+ Stories,False,False,,,18,46,,"Doorman, Elevator Secure, Fire Alarm, Garage Secured",Ok To Lease,,Monthly,907,0,0,0,,,,Nine At Mary Brickell,1806,,"BRAND NEW! ONLY USED THREE TIMES SINCE DELIVERY! IMMACULATE! PRICED BELOW CLOSED SALES PER SQ FT IN BUILDING. 2 Bedroom/2 Bath split plan which feels very spacious! Unit has skyline views! Located in the heart of Miami’s dynamic Brickell neighborhood, Mary Brickell Village offers peerless access to an exceptional and growing array of dining, shopping and entertainment destinations; adjacent to Brickell City Centre. Residence is walking distance to the Metrorail and Metromover Brickell station, and has access to Publix Super Market and the L.A. Fitness health club, both located at the base of the building. *FURNITURE NEGOTIABLE.",,,33131,33,,,,,,232,Miami-Dade County,01-41-38-165-1140,02/24/2019 9:24:28 PM,,
A10129100,Active,999 SW 1st Ave,2,2,,457000,,04/16/2019 12:00:00 AM,,Miami,,,1064,1064,2015,New Construction,,,Other,Humidistat,1,"1 Space, Covered Parking",,,"High Impact Doors, Open Balcony","Carpeted Floors, Tile Floors","Pantry, Split Bedroom, Vaulted Ceilings, Walk-In Closets",,,,,,,,,,,0,,,,C42-Condo 5+ Stories,False,False,,,15,35,,"Doorman, Elevator Secure, Garage Secured, Lobby Secured","Corporate Buyer OK, Ok To Lease, Okay To Lease 1st Year",,Monthly,790,0,0,790,,,,NINE AT MARY BRICKELL VIL,1514,,"For sale or vacation Rental (minimum 1 month). MODERN OPEN KITCHEN AND LOTS OF CLOSET SPACE. Access to Mary Brickell Village with many restaurants, night clubs, boutiques and newly open shopping malls. Next to de business district. Resort Style Amenities,pool with pavilions, cabanas and BBQ grills, yoga studio, fitness center, valet parking, child's play room.",,,33130,13,,,,,,181,Miami-Dade County,01-41-38-165-2830,08/08/2016 11:39:57 PM,,
A10416572,Active,79 SW 12th St,2,2,0,385000,,01/09/2019 12:00:00 AM,,Miami,THE AXIS ON BRICKELL,,1100,1100,2008,Cbs Construction,,,Central Heat,Central Cooling,1,"1 Space, Covered Parking",,,"High Impact Doors, Open Balcony","Carpeted Floors, Ceramic Floor","Fire Sprinklers, Split Bedroom, Walk-In Closets",,,,,,,,,,THE AXIS ON BRICKELL,6333,,,,C42-Condo 5+ Stories,False,False,,,25,38,,"Complex Fenced, Doorman, Elevator Secure, Fire Alarm, Lobby Secured, Tv Camera",Ok To Lease,,Monthly,735,0,0,735,,,,THE AXIS ON BRICKELL,2510-S,,"AMAZING 2 BEDROOMS 2 BATHROOM + DEN APARTMENT. BEAUTIFUL AND SPACIOUS CONDO IN THE HEART OF BRICKELL AREA, NICE OPEN KITCHEN , HUGE BALCONY. 5 STARS AMENITIES THAT INCLUDE TWO POOLS, SPA, GYM, MEDIA ROOM, VALET SECURITY, CONCIERGE AND MORE. ONE BLOCK OF MARY BRICKELL VILLAGE, NEXT TO THE METROMOVER... EXCELLENT LOCATION CLOSE TO EVERYTHING !!! PLEASE CALL LISTING AGENT DIANA TELLO FOR MORE INFO OR SHOWINGS",,,33130,30,,,,,,278,Miami-Dade County,01-41-38-138-2790,02/09/2018 11:22:10 AM,,
A10682552,Active,31 SE 5th St,1,1,0,299000,,05/31/2019 12:00:00 AM,,Miami,BRICKELL ON THE RIVER N T,,757,757,2006,Cbs Construction,,,Central Heat,Central Cooling,1,"1 Space, Guest Parking, Valet Parking",Attached,Breakfast Area,"Barbeque, Open Balcony",Marble Floors,"First Floor Entry, Elevator",,,,,,,,,,BRICKELL ON THE RIVER N T,5386,,,Separate Tub & Shower,C42-Condo 5+ Stories,False,False,,,32,46,,Other Security,Ok To Lease,,Monthly,0,0,0,545,,,,BRICKELL ON THE RIVER,3205,,"GREAT CONDO ON HIGH FLOOR IN BRICKELL. WASHER/DRYER AND FREE COVERED PARKING, MARBLE FLOORING THROUGHOUT, STAINLESS STEAL APPLIANCES, WASHER AND DRYER IN UNIT.BUILDING FULL OF AMENITIES, HIS AND HERS SPAS WITH SAUNA, STEAM ROOM AND JACUZZI AND 4 FLOORS GYM, BIG POOL, AMAZING AMENITIES INCLUDE 2 POOLS, JACUZZI, FITNESS CENTER, SPA CONCIERGE, AND VALET. MUST SEE THE UNIT. EASY TO SHOW. STEPS TO METRO MOVER AND WALKING DISTANCE TO WHOLE FOODS.",,,33131,15,,,,,,136,Miami-Dade County,01-41-38-113-1450,05/31/2019 12:33:00 PM,,
A10746321,Active,13100 SW 13 ST,5,4,,120000,,09/25/2019 12:00:00 AM,,Miami,UNIVERSITY LAKES,,,,1980,Manufactured/Mobile Home,Detached,"One Story, Manufactured",Central Heat,Central Cooling,0,Other Parking,,,"Other, Screened Porch, Tennis Court",Other Floors,First Floor Entry,Other Lot Description,,,,Other,Municipal Sewer,Lake,Municipal Water,,UNIVERSITY LAKES,0,,False,,R38-Mobile/Manufactured Home,False,False,,,,,"Community Pool, No Subdiv/Park Info",,"Ok To Lease, Other Restrictions",,Monthly,,,,823,,Other,,,,,"DON'T MISS THIS GREAT OPPORTUNITY 5 BED / 4 BATH, RENTED $1,300, 1000, 900 & 750, LAKE VIEWS, COMMUNITY POOL, TENNIS COURTS , CHILD PLAY AREA.",,1200,33184,10,,,,,,19,Miami-Dade County,30-49-11-001-0002,09/27/2019 12:50:43 PM,,
A1962479,Closed Sale,465 BRICKELL AV,5,4,1,2900000,2100000,06/11/2014 12:00:00 AM,04/08/2015 12:00:00 AM,Miami,,,3477,3477,2008,Cbs Construction,,,"Central Heat, Electric Heat","Central Cooling, Electric Cooling",2,"1 Space, Assigned Parking, Covered Parking",Attached,,Open Balcony,Tile Floors,"Built-Ins, Foyer Entry, Split Bedroom, Walk-In Closets",,,,,,,,,Impact Glass,,36358,,,"Dual Sinks, Separate Tub & Shower",C44-Co-Op 1-4 Stories,False,False,,,40,57,,"Doorman, Elevator Secure, Lobby Secured",No Restrictions,,Monthly,2654,0,0,2654,,,Icon Brickell Tower,Icon Brickell Tower,4001/2,,"Sold together, Units #4001/#4002 offer over 3,477 SqFt (per developer floor plan) of luxury living. This extraordinary 5Bed/4.5Bath Castle in the sky boasts sweeping 270 Degree panoramic bay/city views. Ready for your buyer to build out/customize to their  exact specifications. Currently, the unit has two kitchens, which can be combined into one gourmet kitchen. Unit comes with exquisite Italian porcelain floors and 2 parking spaces. Fantastic opportunity under $3 Million. Easy to Show",04/08/2015 12:00:00 AM,,33131,28,,02/04/2015 12:00:00 AM,01/21/2015 12:00:00 AM,04/08/2015 12:00:00 AM,Cash,224,Miami-Dade County,01-41-38-147-0000,06/11/2014 12:00:00 AM,False,
A10671387,Closed Sale,1823 SW 2nd Ct,3,4,1,2500000,1955000,05/10/2019 12:00:00 AM,05/20/2019 12:00:00 AM,Miami,HOLLEMAN PARK,7500,6152,4680,2019,"Concrete Block Construction, Cbs Construction, New Construction, Slab Construction",Detached,"Three Or More Stories, Other",Electric Heat,"Ceiling Fans, Central Cooling",1,"Covered Parking, Driveway, Other Parking, Pavers, Street Parking",Attached,"Dining/Living Room, Eat-In Kitchen, Formal Dining, Kitchen Dining","Fence, High Impact Doors, Open Balcony, Outdoor Shower",Tile Floors,"First Floor Entry, Closet Cabinetry, Cooking Island, Elevator, Foyer Entry, Laundry Tub, Vaulted Ceilings, Walk-In Closets",Less Than 1/4 Acre Lot,"Below Ground Pool, Equipment Stays, Other",15x39,,Den/Library/Office,Municipal Sewer,"Garden View, Other View",Municipal Water,"High Impact Windows, Impact Glass, Sliding, Solar Film/Tinted",HOLLEMAN PARK,7352,False,True,"Dual Sinks, Separate Tub & Shower",R31-Pool Only,False,False,,,,,Additional Amenities,,"No Restrictions, Ok To Lease",,,,,,,,,,,,,"Modern home, designed by renowned Architect ZW Jarosz, this sleek 2 story + Rooftop bright open plan house is strongly built in concrete and lots of high quality windows and doors. Double height living area with exposed staircase, Italian full height kitchen with great sub-zero/wolf appliances. 21’ high windows and sliding doors overlooking terrace, backyard, gazebo and pool area. Smart home. 3 Bed each with balconies and 4 bath + den/office that can be converted to bedroom in ground floor. Conveniently close to Brickell without the traffic congestion. Easy access to I-95, Key Biscayne, Coral Gables.",05/20/2019 12:00:00 AM,7500,33129,26,,05/09/2020 12:00:00 AM,05/14/2019 12:00:00 AM,05/20/2019 12:00:00 AM,Conventional,4,Miami-Dade County,01-41-38-001-3685,05/11/2019 12:52:25 PM,False,
A10450184,Closed Sale,1561 S MIAMI AVE,6,6,1,2500000,2400000,04/11/2018 12:00:00 AM,01/31/2019 12:00:00 AM,Miami,BRICKELLS FLAGLER,,5117,5117,2005,Cbs Construction,Attached,"Two Story, Other","Central Heat, Electric Heat","Central Cooling, Electric Cooling",2,"Driveway, Other Parking",Attached,"Breakfast Area, Eat-In Kitchen, Formal Dining","Fence, Exterior Lighting, Open Balcony, Patio","Marble Floors, Wood Floors","First Floor Entry, Built-Ins, Cooking Island, Fireplace, French Doors, Other Interior Features, Split Bedroom",Less Than 1/4 Acre Lot,"Below Ground Pool, Whirlpool In Pool",15X30,,"Family Room, Maid/In-Law Quarters, Media Room, Other, Utility Room/Laundry",Municipal Sewer,"Other View, Pool Area View",Municipal Water,"Bay Window, Picture Window",BRICKELLS FLAGLER,28828,True,True,"Bidet, Combination Tub & Shower, Dual Sinks, Separate Tub & Shower",R31-Pool Only,False,False,,,,,Other Subdiv/Park Info,,Other Restrictions,,Monthly,,,,0,,,,,,,"SPECTACULAR 6BR/6.5BA MEDITERRANEAN STYLE GATED HOME LOCATED IN THE HEART OF BRICKELL'S RESIDENTIAL NEIGHBORHOOD. EXTREMELY WELL LOCATED AND CLOSE TO MARY BRICKELL VILLAGE, FINANCIAL DISTRICT AND BRICKELL CITY CENTER. HOME FEATURES 23' HIGH CEILINGS, WOOD AND MARBLE FLOORS THROUGHOUT, HIGH-END FINISHES, IMPACT WINDOWS, SPACIOUS CLOSETS IN EVERY ROOM. EXPANSIVE UPSTAIRS AND DOWNSTAIRS TERRACES AND POOL DECK AREA. PARKING SPACE TO FIT FOR 4 CARS.",01/31/2019 12:00:00 AM,X,33129,18,,04/09/2019 12:00:00 AM,12/31/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Conventional,264,Miami-Dade County,01-41-39-001-0063,04/11/2018 10:57:04 AM,False,
A10579332,Closed Sale,901 Brickell Key Blvd,4,4,1,2345000,2200000,11/30/2018 12:00:00 AM,03/04/2019 12:00:00 AM,Miami,CARBONELL CONDO,,2860,2860,2005,Cbs Construction,,,Central Heat,Central Cooling,5,Other Parking,Attached,"Dining/Living Room, Family/Dining Combination","Open Balcony, Other",Other Floors,"First Floor Entry, Built-Ins, Other Interior Features",,,,,,,,,"Blinds/Shades, High Impact Windows",CARBONELL CONDO,28938,,,"Dual Sinks, Shower Only",C45-Co-Op 5+ Stories,False,False,,,35,39,,"Elevator Secure, Guard At Site",Other Restrictions,,Monthly,1806,0,0,1806,,,,Carbonell,3508,,"Stunning 4BR/4.5BA+DEN unit completely remodeled with large open-concept living spaces & high-end luxury finishes throughout. Panoramic 180-degree Water and Brickell Skyline views from every room. Features white glass floors,Italian kitchen with Subzero & Miele appliances, Italian white bathrooms, built-in closets, 10 ft high ceilings, floor to ceiling glass windows & high-tech lighting system. Includes 5 parking spaces assigned and 3 storage units. State of the art Amenities.",03/02/2019 12:00:00 AM,,33131,45,,05/30/2019 12:00:00 AM,01/16/2019 12:00:00 AM,01/16/2019 12:00:00 AM,Cash,47,Miami-Dade County,01-42-06-064-2680,11/30/2018 5:10:32 PM,False,
A1948729,Closed Sale,900 BRICKELL KEY BL,3,3,1,2099000,1950000,05/07/2014 12:00:00 AM,10/09/2014 12:00:00 AM,Miami,,,2065,2065,2008,Cbs Construction,,,Central Heat,Central Cooling,2,2 Or More Spaces,,,"Fence, Open Balcony",Marble Floors,Vaulted Ceilings,,,,,,,,,,,29050,,,,C23-Condo/Timeshare,False,False,,,24,34,,"Doorman, Card Entry, Intercom In Lobby",Okay To Lease,,Monthly,0,0,0,1284,,,,Asia Condo,2401,,"Breathtaking views of Biscayne bay and Miami's exuberant skyline, unique, ultra-contemporary architectural design makes Asia the #1 residence for the most discriminating owner.   Elegant smooth ceilings rising to 12 feet.  Terraces with glass railings, ac  cessible from bedrooms.   Elegant stone kitchen countertops and backsplash.  Stainless-steel appliances.  Top-of-the-line, full-size stackable washer and dryer. High-efficiency central air. Luxurious swimming pool, 24 Hr Full-time concierge staff.",09/30/2014 12:00:00 AM,,33131,3,,11/06/2014 12:00:00 AM,08/06/2014 12:00:00 AM,10/09/2014 12:00:00 AM,Cash,91,Miami-Dade County,01-42-06-067-0210,05/12/2014 12:00:00 AM,False,
A2086262,Closed Sale,465 BRICKELL AV,3,2,1,1750000,2100000,02/05/2014 12:00:00 AM,04/08/2015 12:00:00 AM,Miami,,,1825,1825,2008,Cbs Construction,,,"Central Heat, Electric Heat","Central Cooling, Electric Cooling",1,"1 Space, Assigned Parking, Covered Parking",Attached,Dining/Living Room,Open Balcony,Tile Floors,"Built-Ins, Foyer Entry, Split Bedroom, Walk-In Closets",,,,,,,,,Impact Glass,,25575,,,"Dual Sinks, Separate Tub & Shower",C44-Co-Op 1-4 Stories,False,False,,,40,57,,"Doorman, Elevator Secure, Lobby Secured",No Restrictions,,Monthly,1550,0,0,1550,,,,Icon Brickell Tower 1,4001,,"Unobstructed/wide breathtaking views of Ocean/Biscayne Bay. 3 bed/2.5 bath corner unit 2,044 sq ft (per developer flr plan) w/split floor with white italian porcelain plank floors. 5-star bldg w/top amenities: infinity pools, state of art gym, spa, theate r/billiard roms. Can be combined with Unit #4002 next door. A Must See.",04/30/2015 12:00:00 AM,,33131,10,,03/16/2015 12:00:00 AM,03/13/2015 12:00:00 AM,04/08/2015 12:00:00 AM,Cash,401,Miami-Dade County,01-41-38-147-0360,03/13/2015 12:00:00 AM,False,
A10240248,Closed Sale,249 SW 20 Rd,6,5,1,1595000,1575000,03/12/2017 12:00:00 AM,05/30/2017 12:00:00 AM,Miami,HOLLEMAN PARK,10125,4218,4042,2016,"Concrete Block Construction, Cbs Construction, New Construction",Detached,Two Story,"Central Heat, Electric Heat","Central Cooling, Electric Cooling",2,Driveway,Detached,"Breakfast Area, Family/Dining Combination, Snack Bar/Counter","Deck, Fence, Fruit Trees, High Impact Doors, Exterior Lighting, Open Porch","Concrete Floors, Wood Floors","Built-Ins, Closet Cabinetry, French Doors, Pantry, Split Bedroom, Volume Ceilings, Walk-In Closets",Less Than 1/4 Acre Lot,"Above Ground Pool, Equipment Stays",0,,"Den/Library/Office, Family Room, Florida Room, Garage Apartment, Great Room, Separate Guest/In-Law Quarters, Maid/In-Law Quarters, Media Room",Municipal Sewer,"Garden View, Pool Area View",Municipal Water,"High Impact Windows, Impact Glass",HOLLEMAN PARK,9222,,True,"2 Master Bathrooms, Dual Sinks, Separate Tub & Shower",R31-Pool Only,False,False,,,,,Courtesy Bus,,No Restrictions,,Yearly,,,,0,,,,,,,"Casa Pasion in The Roads - highly sought after area near Brickell Ave offers a modern style, elegance & flair in this fabulous new construction!  Impressive 2 story residence plus detached guest house on oversized lot. Main residence: 5B/4.5BA, chef's kitchen, adjacent to ample dining and family room. Double height living room with media rm/office. Master suite & guest rm en suite on 1st fl, 3B/2BA on 2nd fl.  Guest house 1B/1BA + den & kitchen, new saline lap pool w/ deck for entertaining w/ lovely yard.",05/30/2017 12:00:00 AM,,33129,35,,09/12/2017 12:00:00 AM,04/26/2017 12:00:00 AM,05/30/2017 12:00:00 AM,Conventional,45,Miami-Dade County,01-41-38-001-2560,03/13/2017 12:11:58 PM,False,
A2132747,Closed Sale,1644 S MIAMI AV,3,2,1,1499000,1380000,06/16/2015 12:00:00 AM,08/24/2015 12:00:00 AM,Miami,39 54 41 RACKLEYS RE-SUB,,3152,3152,1936,Concrete Block Construction,Detached,One Story,Central Heat,Central Cooling,0,"Driveway, Street Parking",,,Fence,"Terrazzo Floors, Wood Floors",First Floor Entry,1/4 To Less Than 1/2 Acre Lot,,,,Other,Municipal Sewer,Garden View,Municipal Water,,39 54 41 RACKLEYS RE-SUB,6059,,False,,R31-Pool Only,False,False,,,,,No Subdiv/Park Info,,No Restrictions,,None,,,,,,,,,,,"Location,Location,Location! Immaculate 3 Bedroom/ 2 1/2 Bath Art Deco Home filled with Natural Light, Spectacular Bathrooms and an Updated Kitchen.  Fronting on Highly Desirable Historic South Miami Avenue on a Lush Tropical Lot across from Multi-Million  Dollar Homes. Close to Mary Brickell Village, Key Biscayne, Coconut Grove and I-95.",08/24/2015 12:00:00 AM,X,33129,25,,12/31/2015 12:00:00 AM,08/11/2015 12:00:00 AM,08/24/2015 12:00:00 AM,Cash,56,Miami-Dade County,01-41-39-012-0010,06/17/2015 12:00:00 AM,False,
A10478697,Closed Sale,1510 SW 4 Ave,4,4,,1490000,1375000,05/31/2018 12:00:00 AM,09/19/2018 12:00:00 AM,Miami,,,3858,3858,2018,Cbs Construction,,,Central Heat,Ceiling Fans,1,"2 Or More Spaces, Covered Parking",,"Formal Dining, Snack Bar/Counter","Fence, High Impact Doors, Open Porch",Ceramic Floor,"First Floor Entry, Closet Cabinetry, Cooking Island, Volume Ceilings, Walk-In Closets",,,,,Family Room,,,,,,0,,,"Bidet, Dual Sinks, Separate Tub & Shower",T51-Townhouse Fee Simple,False,False,,1,1,3,,Complex Fenced,Other Restrictions,,Monthly,0,0,0,380,,,,Brickell Broadway Villas,1,,"Brickell Broadways Villas just built in the Brickell Roads neighborhood. 4/4 plus garage and private roof top pool with stunning views of Brickell Downtown skyline. Ultra modern and open layout which includes large open terrace on second floor.   24 x 48 Porcelain tiles throughout. This new twin home structure is made of full concrete and a concrete slab roof. The windows and doors are hurricane impact from CGI. Modern gates add security, privacy and elegance. Grand entrance with beautiful chandelier and foyer. Perfect for executives and entertaining. Show and sell this exquisite masterpiece. Built by Sterling Developers, LLC.",09/14/2018 12:00:00 AM,,33129,27,,12/31/2018 12:00:00 AM,08/15/2018 12:00:00 AM,09/19/2018 12:00:00 AM,Other Terms See Remarks,76,Miami-Dade County,01-41-38-172-0010,05/31/2018 4:57:41 PM,False,
A10478653,Closed Sale,1500 SW 4th Ave,4,4,0,1490000,1420000,05/31/2018 12:00:00 AM,01/15/2019 12:00:00 AM,Miami,HOLLEMAN PARK,,3858,3858,2018,Cbs Construction,Attached,Two Story,Central Heat,Central Cooling,1,"Covered Parking, Slab/Strip",Attached,"Formal Dining, Snack Bar/Counter","Deck, Fruit Trees, High Impact Doors, Open Porch","Ceramic Floor, Tile Floors","First Floor Entry, Built-Ins, Closet Cabinetry, Cooking Island, Volume Ceilings, Walk-In Closets","Less Than 1/4 Acre Lot, Corner Lot",Concrete,11x30,,Family Room,Municipal Sewer,"Garden View, Other View, Pool Area View",Municipal Water,"High Impact Windows, Picture Window",HOLLEMAN PARK,5859,False,True,"Dual Sinks, Separate Tub & Shower, Whirlpool/Spa",R31-Pool Only,False,False,,,,,"Paved Road, Public Road, Sidewalks",,Other Restrictions,,Monthly,,,,380,,,,,,,"Brickell Broadways Villas just built in the Brickell Roads neighborhood. 4/4 plus garage and private roof top pool with stunning views of Brickell Downtown skyline. Ultra modern and open layout which includes large open terrace on second floor.   24 x 48 Porcelain tiles throughout. This new twin home structure is made of full concrete and a concrete slab roof. The windows and doors are hurricane impact from CGI. Modern gates add security, privacy and elegance. Grand entrance with beautiful chandelier and foyer. Perfect for executives and entertaining. Show and sell this exquisite masterpiece. Built by Sterling Developers, LLC.",12/28/2018 12:00:00 AM,,33129,26,,12/31/2018 12:00:00 AM,09/17/2018 12:00:00 AM,09/17/2018 12:00:00 AM,Conventional,109,Miami-Dade County,01-41-38-001-0080,05/31/2018 4:18:05 PM,False,
A2209345,Closed Sale,1435 BRICKELL AV,2,2,1,1475000,1250000,11/30/2015 12:00:00 AM,05/31/2016 12:00:00 AM,Miami,,,2062,2062,2003,Cbs Construction,,,Central Heat,Central Cooling,1,Assigned Parking,Attached,Dining/Living Room,Other,Carpeted Floors,"First Floor Entry, Fire Sprinklers",,,,,,,,,Blinds/Shades,,13382,,,Dual Sinks,C43-Condo-Hotel,False,False,,,31,70,,"Doorman, Card Entry, Lobby Secured",Okay To Lease,,Monthly,2059,0,0,2059,,,,FOUR SEASONS CONDO HOTEL,3106,,"THIS MAGNIFICENT UPGRADED CORNER UNIT SHOWCASES THE MOST EXCLUSIVE ATTENTION TO DETAILS. GRANITE COUNTER TOPS, POGGENPOHL KITCHEN CABINETS, TOP OF THE LINE APPLIANCES. LUXURY RETREAT OFFERED BY THE FOUR SEASONS HOTEL INCLUDING 3 POOLS WITH CABANAS, ROOM S  ERVICE, 24 HOUR CONCIERGE AND 50,000 SQFT EQUINOX GYM & SPA, OWNERS LOUNGE AND MORE! FIVE STAR LIVING AT FOUR SEASONS HOTEL MIAMI.",06/06/2016 12:00:00 AM,,33131,9,,11/21/2016 12:00:00 AM,04/22/2016 12:00:00 AM,05/31/2016 12:00:00 AM,Cash,144,Miami-Dade County,01-41-39-078-0370,11/30/2015 12:00:00 AM,False,
A10048789,Closed Sale,87 SW 18th  ROAD,3,2,1,1450000,1150000,03/11/2016 12:00:00 AM,06/24/2016 12:00:00 AM,Miami,HOLLEMAN PARK,,1806,1806,1937,Cbs Construction,Attached,One Story,"Central Heat, Electric Heat","Ceiling Fans, Central Cooling, Electric Cooling",0,"Driveway, Street Parking",,Formal Dining,"Awnings, Deck, Extra Building/Shed, Fence, Exterior Lighting, Open Balcony, Patio","Concrete Floors, Other Floors, Tile Floors, Wood Floors","First Floor Entry, Vaulted Ceilings","1/4 To Less Than 1/2 Acre Lot, Corner Lot, Cul-De-Sac Lot",Below Ground Pool,0,,"Guest House, Utility Room/Laundry, Workshop",Municipal Sewer,"Garden View, Pool Area View",Municipal Water,Casement,HOLLEMAN PARK,5684,False,True,Separate Tub & Shower,R31-Pool Only,False,False,,,,,"No Subdiv/Park Info, Street Lights",,No Restrictions,,,,,,,,,,,,,"A paradisiacal retreat enclave on a double lot located in the center of the big City of Miami: The Roads, East I-95. This property, immersed in a lush and dense landscape, is conformed by two living units: A unique 1937 updated charm and cozy house and a  modern guest. It features 3 bedrooms and 2.5 baths on 13,750 sq ft lot. Enjoy the needed privacy in today's world by the pool while at the same time being able to indulge in the active life the neighborhood offers.",06/24/2016 12:00:00 AM,13750,33129,27,,09/10/2016 12:00:00 AM,06/14/2016 12:00:00 AM,06/24/2016 12:00:00 AM,Conventional,95,Miami-Dade County,01-41-38-001-4360,03/11/2016 12:00:00 AM,False,
A10003420,Closed Sale,1331 Brickell Bay Dr,2,2,1,1450000,1398000,12/14/2015 12:00:00 AM,01/11/2016 12:00:00 AM,Miami,,,1878,1878,2004,Cbs Construction,,,Electric Heat,Central Cooling,1,"1 Space, Covered Parking, Valet Parking",Detached,,Open Balcony,Marble Floors,"First Floor Entry, Closet Cabinetry, Custom Mirrors, Foyer Entry, Laundry Tub, Split Bedroom, Walk-In Closets",,,,,,,,,,,21340,,,,C42-Condo 5+ Stories,False,False,,,18,48,,"Elevator Secure, Garage Secured, Private Guards",Other Restrictions,,Monthly,1400,0,0,1400,,,,Jade residences at Bricke,1811,,Best priced unit in coveted 11 line at The Jade - Brickell's most prestigious building. Enjoy spectacular sunrises from this southeast facing corner unit with unobstructed bay views. Private elevator opens to a spacious floor plan with beautiful hardwood  floors and marble throughout. Master bedroom offers sweeping bay views and includes separate wood finished His & Hers walk-in closets. Oversized 360 SF terrace is perfect for entertaining. The Jade is a full service building with world-class amenities.,01/11/2016 12:00:00 AM,,33131,5,,05/01/2016 12:00:00 AM,12/15/2015 12:00:00 AM,01/11/2016 12:00:00 AM,Cash,1,Miami-Dade County,01-4139-082-3100,12/15/2015 12:00:00 AM,False,
A2127852,Closed Sale,1331 BRICKELL BAY DR,2,2,1,1450000,1283000,06/08/2015 12:00:00 AM,12/28/2015 12:00:00 AM,Miami,,,1878,1878,2004,Cbs Construction,,,Central Heat,Central Cooling,1,1 Space,,,Other,Other Floors,Other Interior Features,,,,,,,,,Impact Glass,,23766,,,,C45-Co-Op 5+ Stories,False,False,,,19,43,,"Elevator Secure, Doorman",Other Restrictions,,None,1490,0,0,1490,,,,JADE,1911,,"DESIGNER FINISHED TO PERFECTION LINE 11 CORNER UNIT. UNOBSTRUCTED BAY VIEWS FROM A WIDE CORNER TERRACE. UPGRADES INCLUDE RECESSED AND LED LUTRON LIGHTING, MOTORIZED WINDOW TREATMENTS, EXQUISITE CUSTOM BUILT INS, SMART HOME INTEGRATION, UPGRADED KITCHEN AN  D PROFESSIONALLY DESIGNED WALL COVERINGS. NO EXPENSE WAS SPARED IN CREATING THIS WATERFRONT HAVEN.",12/28/2015 12:00:00 AM,,33131,10,,06/08/2016 12:00:00 AM,12/01/2015 12:00:00 AM,12/28/2015 12:00:00 AM,Cash,176,Miami-Dade County,01-41-39-082-3110,06/08/2015 12:00:00 AM,False,
